treat,non_disc,man_disc,opt_disc,period,round,pair,instruct_pg1_time_prop,instruct_pg1_time_resp,instruct_pg2_time_prop,instruct_pg2_time_resp,risk_lvl_prop,risk_lvl_resp,rat_risk_fl_prop,rat_risk_fl_resp,rat_risk_lvl_prop,rat_risk_lvl_resp,ext_rat_risk_fl_prop,ext_rat_risk_fl_resp,ext_rat_risk_lvl_prop,ext_rat_risk_lvl_resp,risk_stage_time_prop,risk_stage_time_resp,instruct_pg3_time_prop,instruct_pg3_time_resp,instruct_pg4_time_prop,instruct_pg4_time_resp,instruct_pg5_time_prop,instruct_pg5_time_resp,offer,disclose,offer_stage_time,accept,accept_stage_time,reveal_stat_pts_fl,reveal_stat_pts_lvl,reveal_offer_fl,reveal_offer_lvl,prop_know_stat_pts_fl,prd_start_stat_pts,prd_end_stat_pts,term_fl,prd_earn_prop,earn_stage_time_prop,prd_earn_resp,earn_stage_time_resp,rnd_earn_prop,rnd_earn_resp
3,0,0,1,1,1,62,22,54,73,73,4,3,1,1,4,3,1,1,4,3,47,56,67,67,71,65,52,45,50,0,17,0,16,0,,0,,1,100,100,0,0,24,100,13,0,100
3,0,0,1,1,1,63,76,55,80,74,9,7,0,1,,7,1,1,10,7,39,77,74,69,71,68,56,51,75,1,7,1,20,1,100,1,75,1,100,100,0,25,24,75,26,25,75
3,0,0,1,1,1,64,84,57,78,74,7,3,1,1,7,3,1,1,7,3,58,77,68,67,72,72,55,51,50,1,18,1,21,1,100,1,50,1,100,100,0,50,22,50,24,50,50
3,0,0,1,1,1,65,77,54,73,74,7,15,1,1,7,15,1,1,7,15,65,85,69,69,73,73,51,51,25,0,14,1,25,1,100,1,25,1,100,100,0,75,23,25,25,75,25
3,0,0,1,1,1,66,76,66,88,81,9,9,1,0,9,,1,0,9,,76,53,73,71,69,64,54,57,50,0,20,1,11,1,100,1,50,1,100,100,0,50,24,50,26,50,50
3,0,0,1,1,1,67,52,54,78,81,3,11,1,1,3,11,1,1,3,11,55,34,64,73,66,66,54,54,55,0,17,1,10,1,100,1,55,1,100,100,0,45,21,55,22,45,55
3,0,0,1,1,1,68,63,78,84,78,8,10,1,1,8,10,1,1,8,10,61,85,69,70,70,71,56,55,40,1,1,0,22,0,,1,40,1,100,50,0,0,23,100,27,0,100
3,0,0,1,1,1,69,87,55,114,77,7,6,1,0,7,,1,0,7,,102,74,69,68,70,68,58,56,50,1,18,1,18,1,100,1,50,1,100,100,0,50,27,50,24,50,50
3,0,0,1,1,1,70,59,67,86,89,8,11,1,1,8,11,1,1,8,11,92,94,66,68,72,68,57,57,50,1,19,1,22,1,100,1,50,1,100,100,0,50,24,50,25,50,50
3,0,0,1,1,1,71,80,56,99,77,3,7,1,1,3,7,1,1,3,7,92,26,77,66,48,71,56,54,50,1,22,1,19,1,100,1,50,1,100,100,0,50,26,50,27,50,50
3,0,0,1,1,1,72,58,55,79,83,1,7,1,1,1,7,1,1,1,7,89,16,68,68,71,60,48,51,50,1,18,1,15,1,100,1,50,1,100,100,0,50,26,50,19,50,50
3,0,0,1,1,1,73,56,87,78,118,3,4,1,1,3,4,1,1,3,4,57,83,68,95,58,73,49,50,50,1,15,1,13,1,100,1,50,1,100,100,0,50,21,50,23,50,50
3,0,0,1,1,1,74,86,58,106,86,15,6,1,0,15,,1,1,15,7,83,42,68,67,71,63,50,47,80,1,16,1,19,1,100,1,80,1,100,100,0,20,17,80,11,20,80
3,0,0,1,1,1,75,56,56,78,78,4,8,1,0,4,,1,0,4,,23,10,64,67,70,72,49,48,50,0,9,1,20,1,100,1,50,1,100,100,0,50,25,50,23,50,50
3,0,0,1,1,1,76,57,55,79,75,2,4,1,1,2,4,1,1,2,4,53,52,68,68,66,41,50,23,20,1,18,0,6,0,,1,20,1,100,50,0,0,21,100,24,0,100
3,0,0,1,1,1,77,72,58,91,90,4,8,0,0,,,1,0,3,,82,48,83,68,61,70,49,49,50,1,22,1,19,1,100,1,50,1,100,100,0,50,23,50,22,50,50
3,0,0,1,1,1,78,54,56,83,82,1,3,0,1,,3,1,1,2,3,66,90,71,71,74,73,59,59,5,0,18,1,25,1,100,1,5,1,100,100,0,95,18,5,25,95,5
3,0,0,1,1,1,79,56,86,80,81,2,7,1,1,2,7,1,1,2,7,62,61,68,64,74,67,58,56,50,1,20,1,13,1,100,1,50,1,100,100,0,50,24,50,27,50,50
3,0,0,1,1,1,80,55,56,84,84,7,7,1,1,7,7,1,1,7,7,27,95,71,73,68,75,57,60,50,1,18,1,26,1,100,1,50,1,100,100,0,50,23,50,26,50,50
3,0,0,1,1,1,81,54,54,85,83,6,9,1,1,6,9,1,1,6,9,37,67,73,73,72,74,58,58,60,1,17,1,21,1,100,1,60,1,100,100,0,40,25,60,26,40,60
3,0,0,1,1,1,82,52,87,75,76,5,6,0,0,,,0,0,,,85,24,70,74,72,70,58,58,50,1,20,1,22,1,100,1,50,1,100,100,0,50,21,50,27,50,50
3,0,0,1,1,1,83,26,78,75,96,7,6,1,1,7,6,1,1,7,6,24,86,65,75,70,74,52,60,25,1,19,0,24,0,,1,25,1,100,50,0,0,28,100,25,0,100
3,0,0,1,1,1,84,80,54,83,74,8,7,0,1,,7,0,1,,7,74,21,80,66,72,71,59,57,50,1,19,1,20,1,100,1,50,1,100,100,0,50,25,50,26,50,50
3,0,0,1,1,1,85,53,55,79,84,7,8,0,1,,8,1,1,7,8,29,50,70,68,72,61,51,51,10,1,13,0,17,0,,1,10,1,100,100,0,0,25,100,28,0,100
3,0,0,1,1,1,86,87,55,112,78,8,0,0,1,,0,1,1,9,0,30,62,78,71,72,60,61,51,50,1,-6,1,23,1,100,1,50,1,100,100,0,50,19,50,23,50,50
3,0,0,1,1,1,87,85,53,117,85,10,6,0,0,,,0,0,,,39,75,75,69,117,65,118,55,50,0,-8,1,17,1,100,1,50,1,100,100,0,50,18,50,24,50,50
3,0,0,1,1,1,88,87,52,86,79,11,7,1,1,11,7,1,1,11,7,82,56,80,71,70,67,58,52,50,1,18,1,20,1,100,1,50,1,100,100,0,50,20,50,24,50,50
3,0,0,1,1,1,89,57,54,83,82,3,9,1,0,3,,1,0,3,,19,20,71,69,66,69,52,50,50,0,17,0,10,0,,0,,1,100,100,0,0,25,100,23,0,100
1,1,0,0,2,1,1,59,-8,83,116,3,8,1,0,3,,1,0,3,,64,61,76,66,75,74,55,53,65,0,25,0,19,0,,0,,1,100,100,0,0,27,100,12,50,150
1,1,0,0,2,1,2,77,83,84,94,9,7,1,1,9,7,1,1,9,7,64,60,68,91,74,71,55,54,50,0,26,1,27,1,75,1,50,0,50,75,0,50,28,50,27,50,150
1,1,0,0,2,1,3,58,58,79,78,5,8,0,1,,8,0,1,,8,63,66,68,66,72,72,50,54,40,0,15,1,20,1,100,1,40,1,100,100,0,60,27,40,28,130,70
1,1,0,0,2,1,4,80,71,83,84,6,2,0,1,,2,0,1,,2,51,68,68,73,73,70,55,56,55,0,23,1,25,1,100,1,55,1,100,100,0,45,26,55,28,100,100
1,1,0,0,2,1,5,78,58,98,76,8,4,1,0,8,,1,0,8,,70,52,68,68,69,75,55,55,50,0,21,1,26,1,100,1,50,1,100,100,0,50,26,50,27,145,55
1,1,0,0,2,1,6,56,80,80,89,6,3,1,1,6,3,1,1,6,3,17,67,66,82,64,75,54,69,40,0,21,1,27,1,100,1,40,1,100,100,0,60,27,40,28,110,90
1,1,0,0,2,1,7,86,57,87,90,7,15,1,1,7,15,1,1,7,15,76,90,106,72,69,77,74,57,10,0,24,1,26,1,100,1,10,1,100,100,0,90,24,10,29,100,100
1,1,0,0,2,1,8,53,75,76,90,5,7,1,1,5,7,1,1,5,7,32,85,63,63,62,72,49,79,90,0,21,1,23,1,100,1,90,1,100,100,0,10,24,90,27,60,140
1,1,0,0,2,1,9,86,86,88,90,13,8,1,1,13,8,1,1,13,8,82,39,63,64,68,75,55,55,45,0,17,1,26,1,100,1,45,1,100,100,0,55,24,45,27,105,95
1,1,0,0,2,1,10,53,79,81,88,10,11,0,1,,11,0,1,,11,54,78,67,65,81,74,55,54,70,0,26,1,26,1,100,1,70,1,100,100,0,30,25,70,25,80,120
1,1,0,0,2,1,11,55,87,88,89,3,8,1,0,3,,1,0,3,,25,76,67,74,75,73,55,66,10,0,18,0,23,0,,0,,1,100,50,0,0,17,100,27,90,110
1,1,0,0,2,1,12,63,56,82,72,4,7,1,1,4,7,1,1,4,7,78,45,69,66,71,66,56,56,25,0,26,0,28,0,,0,,0,100,50,0,0,26,100,26,0,200
1,1,0,0,2,1,13,86,56,81,82,8,5,1,0,8,,1,1,8,6,50,16,64,69,68,76,50,59,100,0,17,1,27,1,100,1,100,1,100,100,0,0,29,100,27,50,150
1,1,0,0,2,1,14,77,88,88,83,8,5,0,1,,5,0,1,,5,-8,61,79,68,77,74,70,56,25,0,25,1,22,1,100,1,25,1,100,100,0,75,22,25,27,125,75
1,1,0,0,2,1,15,64,56,87,76,7,7,0,1,,7,0,1,,7,65,74,67,67,77,77,57,51,25,0,23,0,22,0,,0,,1,100,100,0,0,24,100,24,60,140
1,1,0,0,2,1,16,71,85,77,83,8,7,1,1,8,7,1,1,8,7,64,78,61,64,75,70,58,47,45,0,3,0,14,0,,0,,1,100,50,0,0,23,100,24,50,150
1,1,0,0,2,1,17,55,88,81,82,2,7,1,1,2,7,1,1,2,7,52,63,67,70,77,78,57,59,50,0,29,1,25,1,100,1,50,1,100,100,0,50,29,50,27,100,100
1,1,0,0,2,1,18,83,52,117,79,7,6,1,1,7,6,1,1,7,6,95,74,54,54,75,71,56,58,0,0,21,1,27,1,75,1,0,0,50,75,0,100,24,0,24,100,100
1,1,0,0,2,1,19,87,53,109,69,6,7,1,1,6,7,1,1,6,7,85,80,95,49,77,71,57,50,55,0,20,1,15,1,100,1,55,1,100,100,0,45,23,55,22,95,105
1,1,0,0,2,1,20,58,89,75,114,8,4,1,1,8,4,1,1,8,4,73,99,105,55,78,75,60,57,20,0,21,1,28,1,100,1,20,1,100,100,0,80,27,20,26,130,70
1,1,0,0,2,1,21,84,60,105,72,15,7,1,1,15,7,1,1,15,7,75,71,85,54,75,77,57,57,50,0,24,1,24,1,100,1,50,1,100,100,0,50,23,50,27,100,100
1,1,0,0,2,1,22,54,87,80,111,1,8,1,0,1,,1,0,1,,80,78,54,102,76,76,59,62,25,0,28,1,27,1,100,1,25,1,100,100,0,75,27,25,27,125,75
1,1,0,0,2,1,23,73,26,99,78,7,6,1,1,7,6,1,1,7,6,89,40,84,63,75,68,54,52,25,0,24,1,27,1,100,1,25,1,100,100,0,75,22,25,23,125,75
1,1,0,0,2,1,24,56,87,88,91,7,7,1,1,7,7,1,1,7,7,61,85,68,87,74,66,54,72,50,0,27,1,22,1,100,1,50,1,100,100,0,50,12,50,28,100,100
1,1,0,0,2,1,25,56,86,79,106,4,7,1,1,4,7,1,1,4,7,48,78,68,105,74,92,47,94,25,0,21,1,27,1,100,1,25,1,100,100,0,75,25,25,20,125,75
1,1,0,0,2,1,26,58,56,79,78,4,8,0,1,,8,0,1,,8,61,78,71,71,76,67,55,51,75,0,25,1,26,1,75,1,75,0,50,75,0,25,26,75,26,25,175
1,1,0,0,2,1,27,86,74,90,101,7,9,1,1,7,9,1,1,7,9,85,81,83,81,62,94,56,57,40,0,20,1,26,1,100,1,40,1,100,100,0,60,23,40,26,110,90
1,1,0,0,2,1,28,73,54,77,74,14,7,1,1,14,7,1,1,14,7,41,70,72,70,56,74,55,57,25,0,14,1,25,1,100,1,25,1,100,100,0,75,19,25,28,125,75
